S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5485008;-33,0112601;40,59999847;0,00;0;236;undefined;undefined;5,595555782;0,646444023;7,875371933;undefined;undefined;undefined;undefined;mar.; 22 sep. 2020; 13:08:32
2;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5485006;-33,0112561;40,59999847;0,00;17;257;Tilting;100%;0,367711067;-1,787003398;10,68431664;undefined;0,833;undefined;undefined;mar.; 22 sep. 2020; 13:08:42
3;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5481682;-33,0113299;40,59999847;5,87;18;259;Tilting;100%;-0,243193433;0,454467386;10,02941608;undefined;0,789;undefined;undefined;mar.; 22 sep. 2020; 13:08:53
4;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5473813;-33,0114804;40,59999847;6,87;18;257;In Vehicle;96%;2,760552883;-0,293079019;10,61006737;undefined;0,789;undefined;undefined;mar.; 22 sep. 2020; 13:09:04
5;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5466376;-33,01158;40,59999847;4,82;18;251;In Vehicle;95%;3,590306759;0,616085589;7,771042347;undefined;0,789;undefined;undefined;mar.; 22 sep. 2020; 13:09:14
6;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5457704;-33,0117018;40,59999847;9,00;18;254;In Vehicle;95%;2,970888138;0,655896366;9,764090538;undefined;0,789;undefined;undefined;mar.; 22 sep. 2020; 13:09:24
7;OvK1MARXCKUpOnZf34fusnJqXUF3;-MHqZuDB83YL7y-9I88X;-71,5448012;-33,0118394;40,59999847;7,06;18;255;In Vehicle;90%;-1,75;22,375;15,25;undefined;0,881;undefined;undefined;mar.; 22 sep. 2020; 13:09:35
8;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5442811;-33,0119422;29,71709007;0,09;18;251;In Vehicle;90%;3,222145319;0,135128736;8,771110535;undefined;0,746;undefined;undefined;mar.; 22 sep. 2020; 13:09:45
9;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5443156;-33,0119425;40,69999695;0,00;18;258;In Vehicle;88%;2,819871664;0,456296533;9,3565979;undefined;0,746;undefined;undefined;mar.; 22 sep. 2020; 13:09:56
10;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5441768;-33,0118267;40,69999695;3,17;18;300;In Vehicle;87%;3,663291454;-0,19906351;9,526356697;undefined;0,746;undefined;undefined;mar.; 22 sep. 2020; 13:10:07
11;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5441211;-33,011504;40,69999695;0,01;19;296;In Vehicle;87%;2,703484535;0,258104533;8,814656258;undefined;0,745;undefined;undefined;mar.; 22 sep. 2020; 13:10:18
12;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5440544;-33,0111726;40,69999695;4,98;19;307;In Vehicle;90%;2,026902437;0,803264201;8,920546532;undefined;0,745;undefined;undefined;mar.; 22 sep. 2020; 13:10:29
13;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5440286;-33,0110079;40,89999771;1,90;19;298;In Vehicle;96%;2,249601603;-0,782702804;10,2641058;undefined;0,745;undefined;undefined;mar.; 22 sep. 2020; 13:10:39
14;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5439469;-33,010557;41;7,66;19;295;In Vehicle;96%;3,634896278;-1,031977534;8,91057682;undefined;0,787;undefined;undefined;mar.; 22 sep. 2020; 13:10:50
15;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5438203;-33,0099568;41;0,70;19;295;In Vehicle;96%;3,118007183;0,226338252;8,430003166;undefined;0,787;undefined;undefined;mar.; 22 sep. 2020; 13:11:00
16;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5437305;-33,0094738;41;6,50;19;297;In Vehicle;96%;19,5;34,375;4,9375;undefined;0,787;undefined;undefined;mar.; 22 sep. 2020; 13:11:11
17;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5435773;-33,0089199;41;5,12;19;296;In Vehicle;96%;19,75;37;4,5625;undefined;0,787;undefined;undefined;mar.; 22 sep. 2020; 13:11:22
18;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5441038;-33,008647;41;6,27;19;271;In Vehicle;96%;1,963369846;0,407924086;9,659665108;undefined;0,787;undefined;undefined;mar.; 22 sep. 2020; 13:11:32
19;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5447219;-33,0085514;47,96028353;5,24;19;267;In Vehicle;96%;3,349373341;0,584022403;8,79562664;undefined;0,787;undefined;undefined;mar.; 22 sep. 2020; 13:11:43
20;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5454169;-33,0084788;47,73750565;6,39;19;269;In Vehicle;96%;2,745574713;-0,406746119;9,704321861;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:11:53
21;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5460308;-33,0083786;46,82051844;2,72;19;269;In Vehicle;92%;2,59977746;0,65939188;9,26581955;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:12:03
22;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5461433;-33,0083553;47;0,05;19;266;In Vehicle;96%;3,223074198;-0,120083578;9,480808258;undefined;0,762;undefined;undefined;mar.; 22 sep. 2020; 13:12:13
23;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5461403;-33,0083545;47,59999847;0,00;19;267;In Vehicle;96%;1,0625;52;11,5625;undefined;0,762;undefined;undefined;mar.; 22 sep. 2020; 13:12:24
24;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5463178;-33,0083366;47;3,76;19;270;In Vehicle;91%;4,00417757;0,033767823;10,29380226;undefined;0,762;undefined;undefined;mar.; 22 sep. 2020; 13:12:55
25;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5474156;-33,0081201;47;9,96;19;269;In Vehicle;98%;3,174558163;0,19552967;10,57044792;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:13:06
26;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,548501;-33,0079658;47;10,07;19;262;In Vehicle;98%;4,020420074;0,850889683;6,600708961;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:13:17
27;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,54976;-33,0078618;47;12,32;19;263;In Vehicle;96%;2,647632837;2,010430336;7,963430882;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 13:13:27
28;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5505944;-33,0074165;47;0,09;19;283;In Vehicle;96%;12,75;48,8125;6,8125;undefined;0,811;undefined;undefined;mar.; 22 sep. 2020; 13:13:38
29;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5506656;-33,0073828;44,69999695;4,44;19;271;In Vehicle;92%;2,928961039;-0,92405653;7,732563019;undefined;0,995;undefined;undefined;mar.; 22 sep. 2020; 13:13:49
30;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5506776;-33,0077125;44,69999695;1,18;19;235;In Vehicle;92%;2,172498465;1,004137754;9,673378944;undefined;0,847;undefined;undefined;mar.; 22 sep. 2020; 13:14:00
31;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5506683;-33,0077124;44,69999695;0,00;19;234;In Vehicle;92%;3,113027334;0,699451685;9,313426018;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 13:14:10
32;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5504938;-33,0077786;47,09999847;7,19;19;250;In Vehicle;95%;4,404967308;-0,39942944;8,989624023;undefined;0,832;undefined;undefined;mar.; 22 sep. 2020; 13:15:03
33;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5493226;-33,0080877;47,09999847;10,04;19;249;In Vehicle;95%;2,949311733;0,460127264;10,18102646;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:15:14
34;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5486664;-33,0083613;47,09999847;7,29;19;237;In Vehicle;96%;3,234911442;-0,031249121;8,274992943;undefined;0,734;undefined;undefined;mar.; 22 sep. 2020; 13:15:24
35;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5488105;-33,0092907;47,09999847;10,66;19;238;In Vehicle;96%;3,331694603;0,271205604;7,802453995;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 13:15:35
36;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5489978;-33,0103567;47,09999847;9,86;19;240;In Vehicle;98%;2,948038101;0,430697709;10,19593716;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 13:15:46
37;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5490933;-33,0110423;39,28172429;3,49;19;241;In Vehicle;98%;2,055288076;0,324797392;10,98339081;undefined;0,885;undefined;undefined;mar.; 22 sep. 2020; 13:15:56
38;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5491215;-33,0111135;40,79999924;0,00;19;238;In Vehicle;98%;2,966779709;0,075043865;9,028888702;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:16:06
39;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,549128;-33,0111292;40,59999847;2,42;19;246;undefined;undefined;5,75;31,9375;44,3125;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:16:31
40;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5487895;-33,0112928;40,59999847;6,36;19;237;In Vehicle;98%;7,533412933;-0,511095047;6,771243095;undefined;0,736;undefined;undefined;mar.; 22 sep. 2020; 13:16:38
41;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5486408;-33,0113142;40,59999847;6,82;19;247;undefined;undefined;9,588864326;-1,61349082;4,32359314;undefined;0,735;undefined;undefined;mar.; 22 sep. 2020; 13:16:40
42;OvK1MARXCKUpOnZf34fusnJqXUF3;#¨NOMBRE?;-71,5483533;-33,011356;41,09999847;6,74;19;245;undefined;undefined;4,927841663;-0,103257135;8,643719673;undefined;0,735;undefined;undefined;mar.; 22 sep. 2020; 13:16:44
